Rt,Inst,home,an_inc,ver,pur,dti,del,pb_rc,rev_bal,rev_util,class
0.1427,117.05,RENT,36000,Source Verified,major_purchase,14.07,0,0,11569,0.371,Notpaid
0.1269,469.97,MORTGAGE,78500,Verified,debt_consolidation,7.08,0,0,13197,0.498,Paid
0.079,131.42,RENT,42000,Source Verified,debt_consolidation,10.86,0,0,1472,0.14,Paid
0.089,228.63,MORTGAGE,62400,Source Verified,debt_consolidation,22.06,0,0,5879,0.625,Paid
0.089,133.37,RENT,47500,Not Verified,debt_consolidation,12.4,0,0,1739,0.123,Paid
0.079,569.49,MORTGAGE,80000,Verified,credit_card,17.37,0,0,9207,0.292,Paid
0.0603,304.36,RENT,60000,Source Verified,small_business,14.14,0,0,16320,0.344,Paid
0.1269,737.99,MORTGAGE,115000,Verified,debt_consolidation,21.64,0,0,21054,0.907,Paid
0.1527,695.96,MORTGAGE,84000,Source Verified,debt_consolidation,9.01,0,0,19369,0.784,Paid
0.1629,105.91,RENT,52000,Not Verified,debt_consolidation,16.62,0,0,2929,0.792,Paid
0.1269,93.93,RENT,64800,Verified,other,13.85,0,0,19320,0.657,Notpaid
0.1465,137.98,RENT,48000,Verified,moving,22.38,0,0,18833,0.682,Paid
0.1171,124.87,MORTGAGE,55000,Verified,debt_consolidation,23.54,1,0,6500,0.224,Paid
0.1596,60.75,RENT,40296,Not Verified,other,22.6,0,0,4709,0.76,Paid
0.1065,539.21,MORTGAGE,116000,Verified,small_business,3.55,0,0,34006,0.435,Paid
0.1171,198.46,RENT,37200,Not Verified,other,21.45,0,0,10426,0.437,Paid
0.1427,257.32,RENT,38400,Not Verified,other,23.81,1,0,7943,0.63,Notpaid
0.1065,250.74,MORTGAGE,66000,Not Verified,small_business,11.49,0,0,2421,0.1,Notpaid
0.0662,614.08,RENT,54996,Verified,other,17.74,0,0,7508,0.175,Paid
0.089,508.06,RENT,36000,Source Verified,credit_card,8.58,0,0,6939,0.637,Paid
0.0603,182.62,MORTGAGE,96000,Not Verified,car,23.8,0,0,13726,0.32,Paid
0.1065,32.58,RENT,20000,Not Verified,debt_consolidation,21.3,0,0,2800,0.892,Paid
0.0603,365.23,RENT,85000,Not Verified,credit_card,8.14,0,0,29650,0.319,Paid
0.1677,346.21,RENT,99000,Verified,debt_consolidation,13.47,0,0,12318,0.919,Paid
0.1427,87.49,RENT,25200,Verified,car,23.32,0,0,387,0.094,Paid
0.0662,184.23,MORTGAGE,60000,Not Verified,other,11.46,0,0,8213,0.167,Paid
0.079,93.88,RENT,62400,Not Verified,other,8.98,0,0,4931,0.503,Notpaid
0.1269,268.36,OWN,35000,Source Verified,debt_consolidation,13.75,0,0,10324,0.543,Paid
0.1171,438.26,RENT,40000,Verified,debt_consolidation,24.54,0,0,15520,0.768,Paid
0.0662,350.03,MORTGAGE,90000,Source Verified,debt_consolidation,8.17,0,0,9343,0.388,Paid
0.1727,286.3,RENT,32000,Not Verified,debt_consolidation,21.26,0,0,7567,0.901,Paid
0.1349,402.59,RENT,35000,Verified,debt_consolidation,17.42,0,0,867,0.578,Paid
0.1596,191.5,RENT,43000,Source Verified,debt_consolidation,18.33,0,0,20132,0.968,Notpaid
0.1269,790.82,RENT,120996,Verified,debt_consolidation,8.68,0,0,9854,0.224,Paid
0.1942,811.12,MORTGAGE,108996,Verified,debt_consolidation,13.84,0,0,27489,0.775,Paid
0.1269,80.51,MORTGAGE,72000,Not Verified,other,17.07,0,0,21020,0.964,Paid
0.1349,678.61,RENT,175000,Verified,debt_consolidation,17.57,0,0,18282,0.68,Paid
0.1349,446.87,MORTGAGE,50000,Verified,debt_consolidation,8.71,0,0,11738,0.343,Paid
0.1065,325.74,RENT,100000,Not Verified,debt_consolidation,14.08,0,0,5129,0.221,Paid
0.0603,228.27,MORTGAGE,48000,Not Verified,major_purchase,19.63,0,0,0,0,Paid
0.2128,344.23,MORTGAGE,135696,Source Verified,debt_consolidation,21.9,0,0,45843,0.968,Paid
0.0991,220.51,MORTGAGE,42000,Verified,major_purchase,2.03,0,0,1656,0.134,Paid
0.1065,325.74,MORTGAGE,104000,Source Verified,debt_consolidation,21.36,0,0,55617,0.815,Paid
0.1727,1252.56,MORTGAGE,87000,Verified,other,10.92,0,0,0,0,Paid
0.1171,330.76,MORTGAGE,173467,Verified,debt_consolidation,14.19,0,0,64568,0.78,Paid
0.2089,586.4,OWN,40000,Verified,debt_consolidation,15.12,3,1,3904,0.387,Notpaid
0.1942,785.17,MORTGAGE,98000,Verified,credit_card,8.45,1,0,11087,0.403,Paid
0.089,317.54,MORTGAGE,48000,Not Verified,debt_consolidation,16.38,0,1,4886,0.264,Paid
0.1903,467.23,RENT,65000,Verified,debt_consolidation,21.62,0,0,63462,0.454,Notpaid
0.079,312.91,RENT,66000,Not Verified,credit_card,12.75,0,0,2525,0.149,Paid
0.0991,135.35,RENT,42000,Not Verified,other,20.83,1,0,2603,0.262,Notpaid
0.079,312.91,RENT,57000,Source Verified,debt_consolidation,13.09,0,0,18364,0.616,Paid
